timestamps,open,high,low,close,volume,amount
2025-08-19 11:00:00,23695.08,23701.9,23688.26,23695.23,1239.0,29358389.97
2025-08-19 11:30:00,23695.03,23709.43,23687.42,23706.92,1332.0,31577617.439999998
2025-08-19 12:00:00,23706.38,23713.97,23684.79,23710.29,1626.0,38552931.54
2025-08-19 12:30:00,23710.43,23714.31,23670.55,23675.6,1744.0,41290246.4
2025-08-19 13:00:00,23675.63,23694.47,23667.25,23694.21,1958.0,46393263.18
2025-08-19 13:30:00,23693.64,23702.16,23568.72,23604.92,15923.0,375861141.15999997
2025-08-19 14:00:00,23604.64,23656.81,23551.53,23556.29,10102.0,237965641.58
2025-08-19 14:30:00,23556.58,23588.81,23469.38,23470.16,10661.0,250215375.76
2025-08-19 15:00:00,23470.59,23516.29,23443.65,23508.16,8137.0,191285897.92
2025-08-19 15:30:00,23508.55,23519.31,23482.24,23488.34,5621.0,132027959.14
2025-08-19 16:00:00,23488.59,23507.52,23447.13,23462.43,5020.0,117781398.6
2025-08-19 16:30:00,23462.84,23470.72,23399.77,23408.85,6651.0,155692261.35
2025-08-19 17:00:00,23408.56,23419.2,23374.56,23415.12,5962.0,139600945.44
2025-08-19 17:30:00,23414.57,23445.27,23412.37,23434.23,3588.0,84082017.24
2025-08-19 18:00:00,23434.5,23436.67,23390.87,23405.32,4446.0,104060052.72
2025-08-19 18:30:00,23405.05,23409.69,23375.56,23389.71,3686.0,86214471.06
2025-08-19 19:00:00,23390.01,23391.5,23351.36,23389.01,4110.0,96128831.1
2025-08-19 19:30:00,23389.44,23406.07,23366.81,23400.64,4091.0,95732018.24
2025-08-19 20:00:00,23400.33,23416.97,23398.93,23405.9,1735.0,40609236.5
2025-08-19 20:30:00,23405.92,23407.28,23397.22,23406.06,706.0,16524678.360000001
2025-08-19 22:00:00,23385.52,23420.67,23385.52,23392.48,2096.0,49030638.08
2025-08-19 22:30:00,23392.49,23407.63,23391.0,23393.52,1314.0,30739085.28
2025-08-19 23:00:00,23393.83,23401.61,23349.64,23371.49,1830.0,42769826.7
2025-08-19 23:30:00,23371.13,23372.19,23351.55,23357.11,1807.0,42206297.77
2025-08-20 00:00:00,23357.47,23358.17,23339.05,23348.03,2629.0,61381970.87
2025-08-20 00:30:00,23348.18,23357.48,23332.9,23349.86,1667.0,38924216.62
2025-08-20 01:00:00,23349.39,23359.59,23318.15,23319.92,2195.0,51187224.4
2025-08-20 01:30:00,23320.18,23324.37,23303.26,23313.55,2021.0,47116684.55
2025-08-20 02:00:00,23313.91,23324.36,23303.78,23322.92,1444.0,33678296.48
2025-08-20 02:30:00,23322.79,23330.76,23320.54,23328.39,1015.0,23678315.849999998
2025-08-20 03:00:00,23328.23,23331.16,23291.53,23302.16,1471.0,34277477.36
2025-08-20 03:30:00,23302.12,23308.62,23273.94,23280.77,1439.0,33501028.03
2025-08-20 04:00:00,23280.51,23306.05,23279.04,23305.21,1172.0,27313706.119999997
2025-08-20 04:30:00,23304.76,23307.67,23279.82,23288.48,1162.0,27061213.759999998
2025-08-20 05:00:00,23288.05,23288.11,23271.18,23282.0,1247.0,29032654.0
2025-08-20 05:30:00,23281.94,23303.2,23279.82,23302.92,1156.0,26938175.52
2025-08-20 06:00:00,23302.92,23310.78,23282.98,23301.17,1757.0,40940155.69
2025-08-20 06:30:00,23300.78,23327.74,23299.16,23323.81,1799.0,41959534.190000005
2025-08-20 07:00:00,23323.51,23364.68,23319.66,23352.55,2503.0,58451432.65
2025-08-20 07:30:00,23352.44,23352.44,23330.0,23333.04,1607.0,37496195.28
2025-08-20 08:00:00,23333.02,23343.6,23303.77,23309.45,2472.0,57620960.4
2025-08-20 08:30:00,23309.65,23351.91,23303.15,23346.2,1982.0,46272168.4
2025-08-20 09:00:00,23346.26,23368.24,23338.32,23360.67,1596.0,37283629.32
2025-08-20 09:30:00,23360.5,23374.86,23359.01,23368.0,1160.0,27106880.0
2025-08-20 10:00:00,23368.18,23376.95,23360.52,23362.71,1054.0,24624296.34
2025-08-20 10:30:00,23362.76,23365.62,23337.79,23360.42,1388.0,32424262.959999997
2025-08-20 11:00:00,23360.26,23387.37,23347.69,23350.73,2159.0,50414226.07
2025-08-20 11:30:00,23350.53,23355.5,23321.54,23349.51,2116.0,49407563.16
2025-08-20 12:00:00,23349.49,23363.3,23344.31,23348.64,1900.0,44362416.0
2025-08-20 12:30:00,23348.26,23371.72,23332.82,23362.25,2650.0,61909962.5
2025-08-20 13:00:00,23362.43,23365.91,23339.32,23361.01,2606.0,60878792.059999995
2025-08-20 13:30:00,23361.43,23367.15,23084.04,23109.43,24762.0,572235705.66
2025-08-20 14:00:00,23109.9,23148.67,22998.78,23029.75,24101.0,555040004.75
