<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.08	14:00:00	63754.70	63909.37	63560.12	63752.14	6151	0	1000
2026.06.08	14:30:00	63755.41	64090.66	63750.18	63968.06	4347	0	1000
2026.06.08	15:00:00	63968.94	64214.25	63869.97	63994.20	4785	0	1000
2026.06.08	15:30:00	63995.33	64027.39	63702.36	63777.03	4303	0	1000
2026.06.08	16:00:00	63777.28	64050.60	63670.32	63867.09	3710	0	1000
2026.06.08	16:30:00	63874.40	63885.65	63460.72	63524.06	3417	0	1000
2026.06.08	17:00:00	63524.07	63651.87	63300.38	63631.25	3709	0	1000
2026.06.08	17:30:00	63631.23	63631.23	63241.38	63545.20	3098	0	1000
2026.06.08	18:00:00	63545.20	63661.11	63509.76	63645.45	2792	0	1000
2026.06.08	18:30:00	63645.45	63691.54	63334.06	63465.90	2675	0	1000
2026.06.08	19:00:00	63465.79	63572.16	63358.68	63532.72	2702	0	1000
2026.06.08	19:30:00	63534.04	63601.64	63342.67	63377.15	2984	0	1000
2026.06.08	20:00:00	63377.02	63434.47	63153.45	63171.55	2696	0	1000
2026.06.08	20:30:00	63171.55	63486.56	63170.97	63486.27	2181	0	1000
2026.06.08	21:00:00	63488.31	63802.34	63477.90	63713.65	2689	0	1000
2026.06.08	21:30:00	63713.58	63858.57	63629.23	63721.43	2091	0	1000
2026.06.08	22:00:00	63720.27	63720.27	63205.13	63359.75	2853	0	1000
2026.06.08	22:30:00	63359.82	63465.80	63225.65	63443.40	2371	0	1000
2026.06.08	23:00:00	63443.37	63600.98	63071.13	63143.32	3301	0	1000
2026.06.08	23:30:00	63141.67	63199.98	62966.58	63089.12	3221	0	1000
2026.06.09	00:00:00	63089.10	63189.78	62696.33	62736.53	4292	0	1000
2026.06.09	00:30:00	62736.54	62780.33	62413.15	62553.57	4094	0	1000
2026.06.09	01:00:00	62553.58	62867.67	62543.49	62779.09	3509	0	1000
2026.06.09	01:30:00	62779.07	62880.66	62657.11	62759.29	2940	0	1000
2026.06.09	02:00:00	62760.13	62869.72	62570.45	62780.85	2853	0	1000
2026.06.09	02:30:00	62780.80	62879.92	62533.74	62871.02	3004	0	1000
2026.06.09	03:00:00	62871.09	62978.00	62768.28	62798.83	2708	0	1000
2026.06.09	03:30:00	62807.45	62894.27	62693.38	62869.04	2369	0	1000
2026.06.09	04:00:00	62869.02	62986.28	62743.51	62789.91	2375	0	1000
2026.06.09	04:30:00	62789.92	63431.08	62760.43	63236.43	3746	0	1000
2026.06.09	05:00:00	63236.43	63362.26	63111.65	63311.05	2421	0	1000
2026.06.09	05:30:00	63311.05	63529.25	63301.78	63335.69	2695	0	1000
2026.06.09	06:00:00	63337.71	63508.69	63269.23	63434.38	2506	0	1000
2026.06.09	06:30:00	63435.12	63468.68	63223.90	63302.21	2150	0	1000
2026.06.09	07:00:00	63305.55	63448.40	62995.00	63030.27	2548	0	1000
2026.06.09	07:30:00	63030.27	63218.76	63030.27	63199.23	2077	0	1000
2026.06.09	08:00:00	63199.22	63211.47	62749.86	62864.04	3031	0	1000
2026.06.09	08:30:00	62862.45	63017.06	62797.61	62846.82	2362	0	1000
2026.06.09	09:00:00	62846.82	62957.83	62702.69	62818.73	2359	0	1000
2026.06.09	09:30:00	62818.76	62818.76	62587.18	62718.54	2369	0	1000
2026.06.09	10:00:00	62718.59	62802.55	62590.45	62742.63	2465	0	1000
2026.06.09	10:30:00	62742.63	62837.38	62633.59	62779.23	2186	0	1000
2026.06.09	11:00:00	62779.25	62820.34	62492.97	62596.91	2439	0	1000
2026.06.09	11:30:00	62596.90	62733.55	62518.96	62705.85	2273	0	1000
2026.06.09	12:00:00	62703.36	62900.11	62633.10	62646.80	2605	0	1000
2026.06.09	12:30:00	62646.80	62672.50	62430.32	62633.94	2723	0	1000
2026.06.09	13:00:00	62641.02	62744.54	62256.92	62341.48	3292	0	1000
2026.06.09	13:30:00	62340.60	62535.89	62145.28	62275.69	5767	0	1000
2026.06.09	14:00:00	62267.32	62396.67	61545.20	61600.89	8065	0	1000
2026.06.09	14:30:00	61600.77	61702.16	61126.40	61535.62	7318	0	1000
2026.06.09	15:00:00	61543.85	61713.05	61297.63	61311.46	4975	0	1000
2026.06.09	15:30:00	61308.06	61429.11	61028.22	61125.07	5924	0	1000
2026.06.09	16:00:00	61122.87	61216.06	60848.27	61043.53	6124	0	1000
2026.06.09	16:30:00	61042.24	61502.88	60778.78	61396.01	7633	0	1000
2026.06.09	17:00:00	61396.87	61888.18	61391.75	61748.49	5528	0	1000
2026.06.09	17:30:00	61748.47	61855.19	61594.04	61697.23	3763	0	1000
2026.06.09	18:00:00	61697.25	61968.37	61605.70	61734.27	4058	0	1000
2026.06.09	18:30:00	61733.90	61829.65	61590.76	61781.57	3145	0	1000
2026.06.09	19:00:00	61781.58	61918.32	61711.31	61874.26	3076	0	1000
2026.06.09	19:30:00	61874.26	62110.06	61756.56	62095.32	3593	0	1000
2026.06.09	20:00:00	62096.54	62280.58	61948.29	62089.21	2748	0	1000
2026.06.09	20:30:00	62089.20	62185.55	61978.08	62162.20	2025	0	1000
2026.06.09	21:00:00	62162.22	62180.23	61769.31	61807.08	2019	0	1000
2026.06.09	21:30:00	61807.02	61910.53	61683.21	61754.94	2227	0	1000
2026.06.09	22:00:00	61759.69	61946.65	61656.04	61817.14	2326	0	1000
2026.06.09	22:30:00	61817.05	61977.41	61668.01	61721.56	2614	0	1000
