<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.31	00:30:00	23618.73	23639.66	23615.28	23636.03	1307	0	202
2025.07.31	01:00:00	23635.75	23648.68	23628.52	23648.30	1142	0	199
2025.07.31	01:30:00	23648.24	23661.86	23642.29	23651.42	1066	0	199
2025.07.31	02:00:00	23651.53	23661.47	23650.12	23660.42	791	0	199
2025.07.31	02:30:00	23660.34	23676.45	23659.86	23668.51	763	0	197
2025.07.31	03:00:00	23668.86	23670.53	23660.81	23666.05	681	0	198
2025.07.31	03:30:00	23666.23	23682.25	23665.00	23679.72	633	0	199
2025.07.31	04:00:00	23679.98	23682.75	23669.92	23670.20	709	0	199
2025.07.31	04:30:00	23669.67	23690.72	23665.77	23687.48	879	0	201
2025.07.31	05:00:00	23687.24	23690.98	23672.09	23672.84	1078	0	199
2025.07.31	05:30:00	23672.68	23684.27	23666.81	23681.95	889	0	201
2025.07.31	06:00:00	23681.95	23688.16	23666.56	23670.72	1206	0	201
2025.07.31	06:30:00	23670.90	23681.47	23659.52	23678.92	1154	0	203
2025.07.31	07:00:00	23679.37	23696.87	23665.76	23692.88	1802	0	201
2025.07.31	07:30:00	23693.09	23726.07	23685.34	23706.67	1745	0	201
2025.07.31	08:00:00	23706.69	23707.51	23680.98	23689.31	1666	0	201
2025.07.31	08:30:00	23689.22	23703.18	23675.59	23680.75	1441	0	201
2025.07.31	09:00:00	23681.01	23687.79	23672.23	23679.67	1172	0	199
2025.07.31	09:30:00	23679.97	23680.26	23664.09	23665.53	1249	0	200
2025.07.31	10:00:00	23665.54	23678.42	23663.34	23674.48	1151	0	201
2025.07.31	10:30:00	23674.86	23685.04	23655.58	23658.70	1254	0	199
2025.07.31	11:00:00	23659.07	23682.42	23649.50	23654.21	1980	0	201
2025.07.31	11:30:00	23654.29	23660.90	23634.84	23644.82	1802	0	200
2025.07.31	12:00:00	23644.95	23680.18	23638.22	23676.74	1949	0	202
2025.07.31	12:30:00	23675.76	23690.21	23654.54	23683.73	3185	0	202
2025.07.31	13:00:00	23683.75	23685.47	23624.90	23630.01	2710	0	199
2025.07.31	13:30:00	23629.55	23633.17	23491.82	23554.56	16976	0	197
2025.07.31	14:00:00	23554.94	23582.94	23505.58	23522.95	10393	0	197
2025.07.31	14:30:00	23523.23	23539.73	23419.11	23425.33	9985	0	196
2025.07.31	15:00:00	23425.03	23467.73	23368.08	23418.24	10129	0	195
2025.07.31	15:30:00	23418.52	23467.00	23414.35	23466.83	5452	0	194
2025.07.31	16:00:00	23466.80	23497.46	23455.63	23489.01	3699	0	195
2025.07.31	16:30:00	23489.02	23499.49	23440.90	23452.82	3907	0	194
2025.07.31	17:00:00	23452.83	23455.22	23319.59	23336.08	7061	0	195
2025.07.31	17:30:00	23336.46	23378.99	23248.91	23272.98	10939	0	195
2025.07.31	18:00:00	23273.25	23301.66	23189.56	23300.07	11954	0	196
2025.07.31	18:30:00	23299.82	23346.99	23292.93	23295.94	7642	0	196
2025.07.31	19:00:00	23296.48	23324.41	23250.07	23257.70	8085	0	196
2025.07.31	19:30:00	23258.62	23297.00	23194.96	23234.92	12661	0	196
2025.07.31	20:00:00	23234.43	23329.98	23174.02	23201.42	6047	0	212
2025.07.31	20:30:00	23221.70	23264.43	23197.84	23211.18	5718	0	198
2025.07.31	22:00:00	23201.54	23231.77	23182.60	23192.11	2919	0	204
2025.07.31	22:30:00	23192.52	23200.49	23126.96	23170.07	3411	0	203
